ALGORITHM_ID,SCHEMA_ID,ALGORITHM,ALGORITHM_DIMENSION,PAINTUPMONOCHROMATIC,PAINTDIAGONALUPLEFTPOLYCHROMATIC,PAINTZIGZAGLEFTDOWNUPMONOCHROMATIC,PAINTRIGHTPOLYCHROMATIC,PAINTLDOWNRIGHTMONOCHROMATIC,PAINTDIAGONALUPLEFTMONOCHROMATIC,PAINTZIGZAGRIGHTUPDOWNMONOCHROMATIC,PAINTUPPOLYCHROMATIC,COPY,MIRRORCROSSVERTICAL,PAINTLUPRIGHTMONOCHROMATIC,PAINTZIGZAGDOWNLEFTRIGHTMONOCHROMATIC,PAINTDOT,PAINTLEFTPOLYCHROMATIC,PAINTCUSTOMPATTERNMONOCHROMATIC,PAINTZIGZAGDOWNRIGHTLEFTPOLYCHROMATIC,PAINTLRIGHTUPMONOCHROMATIC,PAINTZIGZAGDOWNRIGHTLEFTMONOCHROMATIC,PAINTLRIGHTDOWNMONOCHROMATIC,PAINTSQUARELEFTUPRIGHTMONOCHROMATIC,PAINTSQUAREDOWNRIGHTUPMONOCHROMATIC,PAINTLDOWNLEFTMONOCHROMATIC,PAINTZIGZAGUPRIGHTLEFTMONOCHROMATIC,PAINTSQUARELEFTDOWNRIGHTPOLYCHROMATIC,PAINTZIGZAGUPLEFTRIGHTPOLYCHROMATIC,PAINTSQUARERIGHTDOWNLEFTMONOCHROMATIC,PAINTLRIGHTDOWNPOLYCHROMATIC,MIRRORCROSSHORIZONTAL,PAINTZIGZAGRIGHTUPDOWNPOLYCHROMATIC,PAINTDOWNPOLYCHROMATIC,PAINTZIGZAGRIGHTDOWNUPMONOCHROMATIC,PAINTDOWNMONOCHROMATIC,PAINTZIGZAGLEFTUPDOWNMONOCHROMATIC,PAINTSQUARERIGHTUPLEFTMONOCHROMATIC,PAINTSQUAREDOWNRIGHTUPPOLYCHROMATIC,PAINTSQUAREUPRIGHTDOWNPOLYCHROMATIC,PAINTLLEFTUPMONOCHROMATIC,PAINTSQUAREUPLEFTDOWNMONOCHROMATIC,PAINTLUPLEFTMONOCHROMATIC,PAINTSQUARERIGHTUPLEFTPOLYCHROMATIC,PAINTSQUARERIGHTDOWNLEFTPOLYCHROMATIC,PAINTDIAGONALUPRIGHTPOLYCHROMATIC,PAINTLDOWNLEFTPOLYCHROMATIC,PAINTCUSTOMPATTERNPOLYCHROMATIC,PAINTSQUARELEFTUPRIGHTPOLYCHROMATIC,PAINTRIGHTMONOCHROMATIC,PAINTLUPLEFTPOLYCHROMATIC,PAINTZIGZAGUPRIGHTLEFTPOLYCHROMATIC,PAINTSQUAREUPRIGHTDOWNMONOCHROMATIC,MIRRORCELLSHORIZONTAL,PAINTDIAGONALDOWNLEFTMONOCHROMATIC,PAINTLLEFTDOWNPOLYCHROMATIC,PAINTLDOWNRIGHTPOLYCHROMATIC,MIRRORCOMMANDSVERTICAL,PAINTDIAGONALDOWNRIGHTPOLYCHROMATIC,PAINTLLEFTDOWNMONOCHROMATIC,PAINTSQUAREUPLEFTDOWNPOLYCHROMATIC,PAINTLLEFTUPPOLYCHROMATIC,PAINTDIAGONALDOWNLEFTPOLYCHROMATIC,PAINTZIGZAGLEFTDOWNUPPOLYCHROMATIC,MIRRORCELLSVERTICAL,PAINTSQUAREDOWNLEFTUPPOLYCHROMATIC,PAINTDIAGONALDOWNRIGHTMONOCHROMATIC,PAINTSQUARELEFTDOWNRIGHTMONOCHROMATIC,PAINTZIGZAGRIGHTDOWNUPPOLYCHROMATIC,PAINTDIAGONALUPRIGHTMONOCHROMATIC,PAINTLEFTMONOCHROMATIC,PAINTSQUAREDOWNLEFTUPMONOCHROMATIC,FILLEMPTY,PAINTZIGZAGLEFTUPDOWNPOLYCHROMATIC,REPEAT,PAINTLRIGHTUPPOLYCHROMATIC,PAINTLUPRIGHTPOLYCHROMATIC,MIRRORCOMMANDSHORIZONTAL,PAINTZIGZAGDOWNLEFTRIGHTPOLYCHROMATIC,PAINTZIGZAGUPLEFTRIGHTMONOCHROMATIC,ALGORITHM_TYPE
1,1,"go(c1),paint(blue)",0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0D
2,1,fill_empty(blue),1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,1D
3,1,"go(c1),paint(blue),go(c1)",0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0D
4,1,"paint({blue},{f3,f4,e4,e3,d3,d2,d4,d5,d6,d1,c6,c5,c4,c3,c2,c1,b3,b4,a3,a4})",1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1D
5,1,"go(f3),paint(blue),go(f4),paint(blue),go(e3),paint(blue),go(e4),paint(blue),go(d2),paint(blue),go(d3),paint(blue),go(d4),paint(blue),go(d5),paint(blue),go(d6),paint(blue),go(d1),paint(blue),go(c1),paint(blue),go(c2),paint(blue),go(c3),paint(blue),go(c4),paint(blue),go(c5),paint(blue),go(c6),paint(blue),go(b3),paint(blue),go(b4),paint(blue),go(a3),paint(blue),go(a4),paint(blue)",0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0D
6,1,"paint({blue},{f3,f4,e4,e3,d1,d2,d3,d4,d5,d6,c6,c5,c4,c3,c2,c1,b4,a3,a4,b3})",1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1D
7,1,"go(c1),paint(blue),fill_empty(blue)",1,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,1D
8,1,"go(a4),paint({yellow},3,up),paint({red},{e4,f4,f3,e3,d3})",1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1D
9,1,"go(c1),paint(blue),go(c1),paint(blue),go(f4),paint(blue),go(f3),paint(blue),go(c1),paint(blue),go(c1),paint(blue),go(d1),paint(blue),go(d2),paint(blue),go(c2),paint(blue),go(c6),paint(blue),go(d6),paint(blue),go(d5),paint(blue),go(d4),paint(blue),go(d3),paint(blue),go(f4),paint(blue),go(d6),paint(blue),go(f4),paint(blue),go(f3),paint(blue),go(e3),paint(blue),go(e3),paint(blue),go(c1),paint(blue),go(d1),paint(blue),go(c1),paint(blue),go(c4),paint(blue),go(d6),paint(blue),go(c6),paint(blue),go(c4),paint(blue),go(c5),paint(blue),go(c3),paint(blue),go(c2),paint(blue),go(d4),paint(blue),go(d2),paint(blue)",0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0D
10,1,"go(f3),paint({blue},6,down)",1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1D
