RESULT_ID,STUDENT_ID,SCHEMA_ID,ALGORITHM_ID,VISUAL_FEEDBACK,GESTURES,BLOCKS,TEXT,TIME,TIMESTAMP,ORIGINAL_ALGORITHM,ARTEFACT_DIMENSION,ARTEFACT_TYPE,ARTEFACT_CATEGORY,LOG_TIME,ALGORITHM,COMPLETE,COLORED_CORRECTLY_old,COLORED_x,DOMAIN_x,CORRECT_old,COLORED_CORRECTLY,COLORED_y,DOMAIN_y,CORRECT,DOMAIN,TIME_DIFF
4,1,1,2,True,False,False,True,16.0,2023-03-29 09:02:52.196797,fill_empty(blue),3.0,3 (P),Visual programming interface,5.0,fill_empty(blue),True,20.0,20.0,virtual,True,20.0,20.0,virtual,True,,11.0
7,1,2,15,False,False,False,True,93.0,2023-03-29 09:04:28.045918,"go(f3),paint({blue},:,down),go(d1),paint({blue},2,square down right up),fill_empty(yellow)",3.0,3 (P),Visual programming interface,80.0,"go(f3),paint({blue},:,down),go(d1),paint({blue},2,square down right up),fill_empty(yellow)",True,20.0,20.0,virtual,True,20.0,20.0,virtual,True,,13.0
12,1,3,38,False,False,False,True,84.0,2023-03-29 09:05:53.167043,"go(c1),paint({yellow},2,up),go(f3),paint({yellow},:,down),go(d5),paint({},2,down),fill_empty(red)",3.0,3 (P),Visual programming interface,69.0,"go(c1),paint({yellow},2,up),go(f3),paint({yellow},:,down),fill_empty(red)",True,18.0,20.0,virtual,False,18.0,20.0,virtual,False,,15.0
14,1,4,60,False,True,False,False,26.0,2023-03-29 09:06:26.795374,"go(d1),paint(yellow),go(c1),paint(yellow),go(a4),paint(yellow),go(b4),paint(yellow),go(c4),paint(yellow),go(d4),paint(yellow),go(e4),paint(yellow),go(f4),paint(yellow),go(f3),paint(blue),go(e3),paint(blue),go(d3),paint(blue),go(c3),paint(blue),go(b3),paint(blue),go(a3),paint(blue),go(c6),paint(blue),go(d6),paint(blue),go(d2),paint(red),go(c2),paint(red),go(c5),paint(red),go(d5),paint(red)",1.0,1 (G),Gesture-interface,17.0,"paint({yellow},{d1,c1,a4,b4,c4,d4,e4,f4}),paint({blue},{f3,e3,d3,c3,b3,a3,c6,d6}),paint({red},{d2,c2,c5,d5})",True,20.0,20.0,virtual,True,20.0,20.0,virtual,True,,9.0
16,1,5,78,False,True,False,False,37.0,2023-03-29 09:07:04.719154,"go(c1),paint({red},4,square right up left),go(f3),paint({yellow},6,down),go(f4),paint({blue},6,down),go(d5),paint({green},4,square down right up)",1.0,1 (G),Gesture-interface,34.0,"go(c1),paint({red},4,square right up left),go(f3),paint({yellow},6,down),go(f4),paint({blue},6,down),go(d5),paint({green},4,square down right up)",True,20.0,20.0,virtual,True,20.0,20.0,virtual,True,,3.0
17,1,6,100,False,True,False,False,17.0,2023-03-29 09:07:22.146215,"go(d2),paint(blue),go(d3),paint(blue),go(e3),paint(blue),go(f3),paint(blue),go(d1),paint(blue),go(f4),paint({green},5,l down right),go(c6),paint({red},5,l left down),go(c1),paint({yellow},5,l right down)",1.0,1 (G),Gesture-interface,11.0,"paint({blue},{d2,d3,e3,f3,d1}),go(f4),paint({green},5,l down right),go(c6),paint({red},5,l left down),go(c1),paint({yellow},5,l right down)",True,20.0,20.0,virtual,True,20.0,20.0,virtual,True,,6.0
19,1,7,122,False,True,False,False,34.0,2023-03-29 09:07:57.138887,"go(c1),paint({red},4,diagonal up right),go(c3),paint({red},2,diagonal up right),go(a3),paint({red},4,diagonal up right),go(f3),paint(yellow),go(e4),paint(yellow),go(d5),paint(yellow),go(c6),paint(yellow),go(c4),paint(yellow),go(d3),paint(yellow),go(d1),paint(yellow),go(c2),paint(yellow),go(b3),paint(yellow),go(a4),paint(yellow)",1.0,1 (G),Gesture-interface,31.0,"go(c1),paint({red},4,diagonal up right),go(c3),paint({red},2,diagonal up right),go(a3),paint({red},4,diagonal up right),paint({yellow},{f3,e4,d5,c6,c4,d3,d1,c2,b3,a4})",True,20.0,20.0,virtual,True,20.0,20.0,virtual,True,,3.0
21,1,8,145,False,True,False,False,36.0,2023-03-29 09:08:34.764920,"go(f4),paint(red),go(e3),paint(red),go(d2),paint(red),go(c1),paint(red),go(c3),paint(red),go(d4),paint(red),go(d6),paint(red),go(c5),paint(red),go(b4),paint(red),go(a3),paint(red),go(f3),paint(yellow),go(d1),paint(yellow),go(d3),paint(yellow),go(d5),paint(yellow),go(b3),paint(yellow),go(e4),paint(blue),go(c2),paint(blue),go(c4),paint(blue),go(c6),paint(blue),go(a4),paint(blue)",1.0,1 (G),Gesture-interface,34.0,"paint({red},{f4,e3,d2,c1,c3,d4,d6,c5,b4,a3}),go(f3),paint(yellow),go(d1),paint(yellow),go(d3),paint(yellow),go(d5),paint(yellow),go(b3),paint(yellow),go(e4),paint(blue),go(c2),paint(blue),go(c4),paint(blue),go(c6),paint(blue),go(a4),paint(blue)",True,20.0,20.0,virtual,True,20.0,20.0,virtual,True,,2.0
24,1,9,165,False,True,False,False,42.0,2023-03-29 09:09:17.831618,"go(f3),paint(blue),go(d3),paint(blue),go(d1),paint(blue),go(d5),paint(blue),go(b3),paint(blue),go(c1),paint(red),go(e3),paint(red),go(c3),paint(red),go(a3),paint(red),go(c5),paint(red),go(f4),paint(green),go(d2),paint(green),go(d4),paint(green),go(d6),paint(green),go(b4),paint(green),go(e4),paint(yellow),go(c2),paint(yellow),go(c4),paint(yellow),go(c6),paint(yellow),go(a4),paint(yellow)",1.0,1 (G),Gesture-interface,39.0,"go(f3),paint(blue),go(d3),paint(blue),go(d1),paint(blue),go(d5),paint(blue),go(b3),paint(blue),go(c1),paint(red),go(e3),paint(red),go(c3),paint(red),go(a3),paint(red),go(c5),paint(red),go(f4),paint(green),go(d2),paint(green),go(d4),paint(green),go(d6),paint(green),go(b4),paint(green),go(e4),paint(yellow),go(c2),paint(yellow),go(c4),paint(yellow),go(c6),paint(yellow),go(a4),paint(yellow)",True,20.0,20.0,virtual,True,20.0,20.0,virtual,True,,3.0
27,1,10,176,False,True,False,False,30.0,2023-03-29 09:09:49.265839,"go(f3),paint(blue),go(f4),paint(blue),go(d2),paint(blue),go(c1),paint(blue),go(b3),paint(blue),go(c3),paint(blue),go(c4),paint(blue),go(b4),paint(blue),go(c6),paint(blue),go(d5),paint(blue),go(e3),paint(yellow),go(e4),paint(yellow),go(d4),paint(yellow),go(d3),paint(yellow),go(d1),paint(yellow),go(c2),paint(yellow),go(a3),paint(yellow),go(a4),paint(yellow),go(c5),paint(yellow),go(d6),paint(yellow)",1.0,1 (G),Gesture-interface,24.0,"go(f3),paint(blue),go(f4),paint(blue),paint({blue},{d2,c1,b3,c3,c4,b4,c6,d5}),paint({yellow},{e3,e4,d4,d3,d1,c2,a3,a4,c5,d6})",True,20.0,20.0,virtual,True,20.0,20.0,virtual,True,,6.0
