STUDENT_ID,SCHEMA_ID,LOG_TIME,ARTEFACT_DIMENSION,ALGORITHM_DIMENSION,AGE_CATEGORY,AGE,GENDER,SESSION_ID,HARMOS_GRADE,SCHOOL_ID,CANTON_NAME,CAT_SCORE,DOMAIN
1,1,13.0,1.0,1.0,From 7 to 9 years old,8,Male,1,4,E,Ticino (TI),2.0,Virtual
1,2,27.0,1.0,1.0,From 7 to 9 years old,8,Male,1,4,E,Ticino (TI),2.0,Virtual
1,3,42.0,0.0,1.0,From 7 to 9 years old,8,Male,1,4,E,Ticino (TI),1.0,Virtual
1,4,38.0,0.0,1.0,From 7 to 9 years old,8,Male,1,4,E,Ticino (TI),1.0,Virtual
1,5,19.0,1.0,1.0,From 7 to 9 years old,8,Male,1,4,E,Ticino (TI),2.0,Virtual
1,6,31.0,1.0,1.0,From 7 to 9 years old,8,Male,1,4,E,Ticino (TI),2.0,Virtual
1,7,161.0,0.0,2.0,From 7 to 9 years old,8,Male,1,4,E,Ticino (TI),2.0,Virtual
1,8,165.0,0.0,1.0,From 7 to 9 years old,8,Male,1,4,E,Ticino (TI),1.0,Virtual
1,9,140.0,0.0,0.0,From 7 to 9 years old,8,Male,1,4,E,Ticino (TI),0.0,Virtual
1,10,44.0,0.0,1.0,From 7 to 9 years old,8,Male,1,4,E,Ticino (TI),1.0,Virtual
1,11,78.0,0.0,0.0,From 7 to 9 years old,8,Male,1,4,E,Ticino (TI),0.0,Virtual
1,12,76.0,0.0,1.0,From 7 to 9 years old,8,Male,1,4,E,Ticino (TI),1.0,Virtual
2,1,20.0,1.0,1.0,From 7 to 9 years old,9,Male,1,4,E,Ticino (TI),2.0,Virtual
2,2,82.0,1.0,1.0,From 7 to 9 years old,9,Male,1,4,E,Ticino (TI),2.0,Virtual
2,3,37.0,1.0,1.0,From 7 to 9 years old,9,Male,1,4,E,Ticino (TI),2.0,Virtual
2,4,53.0,1.0,1.0,From 7 to 9 years old,9,Male,1,4,E,Ticino (TI),2.0,Virtual
2,5,18.0,1.0,1.0,From 7 to 9 years old,9,Male,1,4,E,Ticino (TI),2.0,Virtual
2,6,16.0,1.0,1.0,From 7 to 9 years old,9,Male,1,4,E,Ticino (TI),2.0,Virtual
2,7,116.0,0.0,1.0,From 7 to 9 years old,9,Male,1,4,E,Ticino (TI),1.0,Virtual
2,8,81.0,0.0,1.0,From 7 to 9 years old,9,Male,1,4,E,Ticino (TI),1.0,Virtual
2,9,78.0,0.0,0.0,From 7 to 9 years old,9,Male,1,4,E,Ticino (TI),0.0,Virtual
2,10,37.0,1.0,0.0,From 7 to 9 years old,9,Male,1,4,E,Ticino (TI),1.0,Virtual
2,11,30.0,1.0,0.0,From 7 to 9 years old,9,Male,1,4,E,Ticino (TI),1.0,Virtual
3,1,27.0,1.0,1.0,From 7 to 9 years old,7,Female,1,4,E,Ticino (TI),2.0,Virtual
3,2,37.0,1.0,0.0,From 7 to 9 years old,7,Female,1,4,E,Ticino (TI),1.0,Virtual
3,3,37.0,1.0,1.0,From 7 to 9 years old,7,Female,1,4,E,Ticino (TI),2.0,Virtual
3,4,28.0,1.0,1.0,From 7 to 9 years old,7,Female,1,4,E,Ticino (TI),2.0,Virtual
3,5,26.0,1.0,1.0,From 7 to 9 years old,7,Female,1,4,E,Ticino (TI),2.0,Virtual
3,6,19.0,1.0,1.0,From 7 to 9 years old,7,Female,1,4,E,Ticino (TI),2.0,Virtual
3,7,60.0,1.0,1.0,From 7 to 9 years old,7,Female,1,4,E,Ticino (TI),2.0,Virtual
3,8,84.0,1.0,2.0,From 7 to 9 years old,7,Female,1,4,E,Ticino (TI),3.0,Virtual
3,9,111.0,0.0,0.0,From 7 to 9 years old,7,Female,1,4,E,Ticino (TI),0.0,Virtual
3,10,68.0,1.0,1.0,From 7 to 9 years old,7,Female,1,4,E,Ticino (TI),2.0,Virtual
3,11,25.0,1.0,1.0,From 7 to 9 years old,7,Female,1,4,E,Ticino (TI),2.0,Virtual
3,12,19.0,1.0,0.0,From 7 to 9 years old,7,Female,1,4,E,Ticino (TI),1.0,Virtual
4,1,17.0,0.0,1.0,From 7 to 9 years old,8,Female,1,4,E,Ticino (TI),1.0,Virtual
4,2,29.0,1.0,0.0,From 7 to 9 years old,8,Female,1,4,E,Ticino (TI),1.0,Virtual
4,3,30.0,1.0,1.0,From 7 to 9 years old,8,Female,1,4,E,Ticino (TI),2.0,Virtual
4,4,17.0,1.0,1.0,From 7 to 9 years old,8,Female,1,4,E,Ticino (TI),2.0,Virtual
4,5,9.0,1.0,1.0,From 7 to 9 years old,8,Female,1,4,E,Ticino (TI),2.0,Virtual
4,6,47.0,1.0,1.0,From 7 to 9 years old,8,Female,1,4,E,Ticino (TI),2.0,Virtual
4,7,53.0,0.0,1.0,From 7 to 9 years old,8,Female,1,4,E,Ticino (TI),1.0,Virtual
4,8,53.0,0.0,1.0,From 7 to 9 years old,8,Female,1,4,E,Ticino (TI),1.0,Virtual
4,9,83.0,0.0,0.0,From 7 to 9 years old,8,Female,1,4,E,Ticino (TI),0.0,Virtual
4,10,36.0,0.0,1.0,From 7 to 9 years old,8,Female,1,4,E,Ticino (TI),1.0,Virtual
4,11,55.0,0.0,2.0,From 7 to 9 years old,8,Female,1,4,E,Ticino (TI),2.0,Virtual
4,12,64.0,0.0,0.0,From 7 to 9 years old,8,Female,1,4,E,Ticino (TI),0.0,Virtual
5,1,5.0,1.0,1.0,From 7 to 9 years old,7,Male,1,4,E,Ticino (TI),2.0,Virtual
5,2,16.0,1.0,1.0,From 7 to 9 years old,7,Male,1,4,E,Ticino (TI),2.0,Virtual
5,3,86.0,0.0,1.0,From 7 to 9 years old,7,Male,1,4,E,Ticino (TI),1.0,Virtual
5,4,18.0,1.0,1.0,From 7 to 9 years old,7,Male,1,4,E,Ticino (TI),2.0,Virtual
5,5,17.0,1.0,1.0,From 7 to 9 years old,7,Male,1,4,E,Ticino (TI),2.0,Virtual
5,6,35.0,0.0,1.0,From 7 to 9 years old,7,Male,1,4,E,Ticino (TI),1.0,Virtual
5,7,25.0,1.0,0.0,From 7 to 9 years old,7,Male,1,4,E,Ticino (TI),1.0,Virtual
5,8,132.0,0.0,2.0,From 7 to 9 years old,7,Male,1,4,E,Ticino (TI),2.0,Virtual
5,9,126.0,0.0,2.0,From 7 to 9 years old,7,Male,1,4,E,Ticino (TI),2.0,Virtual
5,10,32.0,0.0,1.0,From 7 to 9 years old,7,Male,1,4,E,Ticino (TI),1.0,Virtual
5,11,52.0,0.0,1.0,From 7 to 9 years old,7,Male,1,4,E,Ticino (TI),1.0,Virtual
5,12,72.0,0.0,1.0,From 7 to 9 years old,7,Male,1,4,E,Ticino (TI),1.0,Virtual
6,1,53.0,0.0,1.0,From 7 to 9 years old,8,Female,1,4,E,Ticino (TI),1.0,Virtual
6,2,30.0,1.0,1.0,From 7 to 9 years old,8,Female,1,4,E,Ticino (TI),2.0,Virtual
6,3,21.0,1.0,1.0,From 7 to 9 years old,8,Female,1,4,E,Ticino (TI),2.0,Virtual
6,4,16.0,1.0,1.0,From 7 to 9 years old,8,Female,1,4,E,Ticino (TI),2.0,Virtual
6,5,36.0,1.0,1.0,From 7 to 9 years old,8,Female,1,4,E,Ticino (TI),2.0,Virtual
6,6,49.0,0.0,2.0,From 7 to 9 years old,8,Female,1,4,E,Ticino (TI),2.0,Virtual
6,7,57.0,0.0,1.0,From 7 to 9 years old,8,Female,1,4,E,Ticino (TI),1.0,Virtual
6,8,99.0,0.0,1.0,From 7 to 9 years old,8,Female,1,4,E,Ticino (TI),1.0,Virtual
6,9,93.0,0.0,0.0,From 7 to 9 years old,8,Female,1,4,E,Ticino (TI),0.0,Virtual
6,10,34.0,1.0,0.0,From 7 to 9 years old,8,Female,1,4,E,Ticino (TI),1.0,Virtual
6,11,80.0,0.0,0.0,From 7 to 9 years old,8,Female,1,4,E,Ticino (TI),0.0,Virtual
6,12,71.0,1.0,0.0,From 7 to 9 years old,8,Female,1,4,E,Ticino (TI),1.0,Virtual
7,1,15.0,1.0,1.0,From 7 to 9 years old,8,Male,1,4,E,Ticino (TI),2.0,Virtual
7,2,22.0,1.0,1.0,From 7 to 9 years old,8,Male,1,4,E,Ticino (TI),2.0,Virtual
7,3,63.0,0.0,1.0,From 7 to 9 years old,8,Male,1,4,E,Ticino (TI),1.0,Virtual
7,4,47.0,0.0,1.0,From 7 to 9 years old,8,Male,1,4,E,Ticino (TI),1.0,Virtual
7,5,19.0,1.0,1.0,From 7 to 9 years old,8,Male,1,4,E,Ticino (TI),2.0,Virtual
7,6,23.0,1.0,1.0,From 7 to 9 years old,8,Male,1,4,E,Ticino (TI),2.0,Virtual
7,7,123.0,0.0,1.0,From 7 to 9 years old,8,Male,1,4,E,Ticino (TI),1.0,Virtual
7,8,169.0,0.0,0.0,From 7 to 9 years old,8,Male,1,4,E,Ticino (TI),0.0,Virtual
7,9,76.0,0.0,0.0,From 7 to 9 years old,8,Male,1,4,E,Ticino (TI),0.0,Virtual
7,10,52.0,0.0,1.0,From 7 to 9 years old,8,Male,1,4,E,Ticino (TI),1.0,Virtual
7,11,62.0,0.0,1.0,From 7 to 9 years old,8,Male,1,4,E,Ticino (TI),1.0,Virtual
7,12,109.0,0.0,0.0,From 7 to 9 years old,8,Male,1,4,E,Ticino (TI),0.0,Virtual
8,1,9.0,1.0,1.0,From 7 to 9 years old,8,Female,1,4,E,Ticino (TI),2.0,Virtual
8,2,12.0,1.0,1.0,From 7 to 9 years old,8,Female,1,4,E,Ticino (TI),2.0,Virtual
8,3,20.0,1.0,1.0,From 7 to 9 years old,8,Female,1,4,E,Ticino (TI),2.0,Virtual
8,4,13.0,1.0,1.0,From 7 to 9 years old,8,Female,1,4,E,Ticino (TI),2.0,Virtual
8,5,15.0,1.0,1.0,From 7 to 9 years old,8,Female,1,4,E,Ticino (TI),2.0,Virtual
8,6,18.0,1.0,1.0,From 7 to 9 years old,8,Female,1,4,E,Ticino (TI),2.0,Virtual
8,7,38.0,0.0,1.0,From 7 to 9 years old,8,Female,1,4,E,Ticino (TI),1.0,Virtual
8,8,67.0,1.0,2.0,From 7 to 9 years old,8,Female,1,4,E,Ticino (TI),3.0,Virtual
8,9,123.0,0.0,0.0,From 7 to 9 years old,8,Female,1,4,E,Ticino (TI),0.0,Virtual
8,10,66.0,1.0,0.0,From 7 to 9 years old,8,Female,1,4,E,Ticino (TI),1.0,Virtual
8,11,45.0,0.0,0.0,From 7 to 9 years old,8,Female,1,4,E,Ticino (TI),0.0,Virtual
8,12,174.0,0.0,0.0,From 7 to 9 years old,8,Female,1,4,E,Ticino (TI),0.0,Virtual
9,1,62.0,1.0,0.0,From 7 to 9 years old,8,Female,1,4,E,Ticino (TI),1.0,Virtual
9,2,15.0,0.0,1.0,From 7 to 9 years old,8,Female,1,4,E,Ticino (TI),1.0,Virtual
9,3,35.0,0.0,1.0,From 7 to 9 years old,8,Female,1,4,E,Ticino (TI),1.0,Virtual
9,4,35.0,1.0,1.0,From 7 to 9 years old,8,Female,1,4,E,Ticino (TI),2.0,Virtual
9,5,23.0,1.0,1.0,From 7 to 9 years old,8,Female,1,4,E,Ticino (TI),2.0,Virtual
9,6,30.0,0.0,1.0,From 7 to 9 years old,8,Female,1,4,E,Ticino (TI),1.0,Virtual
9,7,106.0,0.0,2.0,From 7 to 9 years old,8,Female,1,4,E,Ticino (TI),2.0,Virtual
9,8,145.0,0.0,0.0,From 7 to 9 years old,8,Female,1,4,E,Ticino (TI),0.0,Virtual
9,9,409.0,0.0,0.0,From 7 to 9 years old,8,Female,1,4,E,Ticino (TI),0.0,Virtual
9,10,56.0,0.0,0.0,From 7 to 9 years old,8,Female,1,4,E,Ticino (TI),0.0,Virtual
9,11,96.0,0.0,0.0,From 7 to 9 years old,8,Female,1,4,E,Ticino (TI),0.0,Virtual
9,12,84.0,0.0,0.0,From 7 to 9 years old,8,Female,1,4,E,Ticino (TI),0.0,Virtual
10,1,16.0,1.0,1.0,From 7 to 9 years old,8,Male,1,4,E,Ticino (TI),2.0,Virtual
10,2,22.0,0.0,1.0,From 7 to 9 years old,8,Male,1,4,E,Ticino (TI),1.0,Virtual
10,3,33.0,0.0,1.0,From 7 to 9 years old,8,Male,1,4,E,Ticino (TI),1.0,Virtual
10,4,47.0,1.0,1.0,From 7 to 9 years old,8,Male,1,4,E,Ticino (TI),2.0,Virtual
10,5,34.0,1.0,1.0,From 7 to 9 years old,8,Male,1,4,E,Ticino (TI),2.0,Virtual
10,6,18.0,1.0,1.0,From 7 to 9 years old,8,Male,1,4,E,Ticino (TI),2.0,Virtual
10,7,86.0,0.0,1.0,From 7 to 9 years old,8,Male,1,4,E,Ticino (TI),1.0,Virtual
10,8,79.0,0.0,0.0,From 7 to 9 years old,8,Male,1,4,E,Ticino (TI),0.0,Virtual
10,9,163.0,0.0,0.0,From 7 to 9 years old,8,Male,1,4,E,Ticino (TI),0.0,Virtual
10,10,66.0,0.0,1.0,From 7 to 9 years old,8,Male,1,4,E,Ticino (TI),1.0,Virtual
10,11,84.0,0.0,1.0,From 7 to 9 years old,8,Male,1,4,E,Ticino (TI),1.0,Virtual
10,12,107.0,0.0,0.0,From 7 to 9 years old,8,Male,1,4,E,Ticino (TI),0.0,Virtual
11,1,23.0,1.0,1.0,From 7 to 9 years old,7,Female,1,4,E,Ticino (TI),2.0,Virtual
11,2,44.0,1.0,1.0,From 7 to 9 years old,7,Female,1,4,E,Ticino (TI),2.0,Virtual
11,3,47.0,1.0,1.0,From 7 to 9 years old,7,Female,1,4,E,Ticino (TI),2.0,Virtual
11,4,20.0,1.0,1.0,From 7 to 9 years old,7,Female,1,4,E,Ticino (TI),2.0,Virtual
11,5,17.0,1.0,1.0,From 7 to 9 years old,7,Female,1,4,E,Ticino (TI),2.0,Virtual
11,6,24.0,1.0,1.0,From 7 to 9 years old,7,Female,1,4,E,Ticino (TI),2.0,Virtual
11,7,118.0,0.0,1.0,From 7 to 9 years old,7,Female,1,4,E,Ticino (TI),1.0,Virtual
11,8,171.0,1.0,1.0,From 7 to 9 years old,7,Female,1,4,E,Ticino (TI),2.0,Virtual
11,9,117.0,1.0,0.0,From 7 to 9 years old,7,Female,1,4,E,Ticino (TI),1.0,Virtual
11,10,75.0,1.0,0.0,From 7 to 9 years old,7,Female,1,4,E,Ticino (TI),1.0,Virtual
11,11,73.0,1.0,0.0,From 7 to 9 years old,7,Female,1,4,E,Ticino (TI),1.0,Virtual
11,12,101.0,1.0,0.0,From 7 to 9 years old,7,Female,1,4,E,Ticino (TI),1.0,Virtual
12,1,11.0,1.0,1.0,From 7 to 9 years old,7,Male,1,4,E,Ticino (TI),2.0,Virtual
12,2,13.0,1.0,1.0,From 7 to 9 years old,7,Male,1,4,E,Ticino (TI),2.0,Virtual
12,3,35.0,0.0,1.0,From 7 to 9 years old,7,Male,1,4,E,Ticino (TI),1.0,Virtual
12,4,35.0,0.0,1.0,From 7 to 9 years old,7,Male,1,4,E,Ticino (TI),1.0,Virtual
12,5,25.0,0.0,1.0,From 7 to 9 years old,7,Male,1,4,E,Ticino (TI),1.0,Virtual
12,6,19.0,0.0,1.0,From 7 to 9 years old,7,Male,1,4,E,Ticino (TI),1.0,Virtual
12,7,41.0,0.0,1.0,From 7 to 9 years old,7,Male,1,4,E,Ticino (TI),1.0,Virtual
12,8,117.0,0.0,1.0,From 7 to 9 years old,7,Male,1,4,E,Ticino (TI),1.0,Virtual
12,9,99.0,0.0,0.0,From 7 to 9 years old,7,Male,1,4,E,Ticino (TI),0.0,Virtual
12,10,45.0,0.0,1.0,From 7 to 9 years old,7,Male,1,4,E,Ticino (TI),1.0,Virtual
12,11,57.0,0.0,0.0,From 7 to 9 years old,7,Male,1,4,E,Ticino (TI),0.0,Virtual
12,12,95.0,0.0,0.0,From 7 to 9 years old,7,Male,1,4,E,Ticino (TI),0.0,Virtual
13,1,58.0,0.0,2.0,From 7 to 9 years old,8,Female,1,4,E,Ticino (TI),2.0,Virtual
13,2,28.0,1.0,2.0,From 7 to 9 years old,8,Female,1,4,E,Ticino (TI),3.0,Virtual
13,3,153.0,0.0,2.0,From 7 to 9 years old,8,Female,1,4,E,Ticino (TI),2.0,Virtual
13,4,63.0,0.0,2.0,From 7 to 9 years old,8,Female,1,4,E,Ticino (TI),2.0,Virtual
13,5,48.0,0.0,2.0,From 7 to 9 years old,8,Female,1,4,E,Ticino (TI),2.0,Virtual
13,6,49.0,0.0,2.0,From 7 to 9 years old,8,Female,1,4,E,Ticino (TI),2.0,Virtual
13,7,111.0,0.0,2.0,From 7 to 9 years old,8,Female,1,4,E,Ticino (TI),2.0,Virtual
13,8,190.0,0.0,2.0,From 7 to 9 years old,8,Female,1,4,E,Ticino (TI),2.0,Virtual
13,9,197.0,0.0,2.0,From 7 to 9 years old,8,Female,1,4,E,Ticino (TI),2.0,Virtual
13,10,109.0,0.0,2.0,From 7 to 9 years old,8,Female,1,4,E,Ticino (TI),2.0,Virtual
13,11,137.0,0.0,2.0,From 7 to 9 years old,8,Female,1,4,E,Ticino (TI),2.0,Virtual
14,1,11.0,1.0,1.0,From 7 to 9 years old,7,Male,1,4,E,Ticino (TI),2.0,Virtual
14,2,18.0,1.0,1.0,From 7 to 9 years old,7,Male,1,4,E,Ticino (TI),2.0,Virtual
14,3,34.0,0.0,1.0,From 7 to 9 years old,7,Male,1,4,E,Ticino (TI),1.0,Virtual
14,4,44.0,0.0,2.0,From 7 to 9 years old,7,Male,1,4,E,Ticino (TI),2.0,Virtual
14,5,33.0,0.0,2.0,From 7 to 9 years old,7,Male,1,4,E,Ticino (TI),2.0,Virtual
14,6,23.0,1.0,1.0,From 7 to 9 years old,7,Male,1,4,E,Ticino (TI),2.0,Virtual
14,7,38.0,0.0,1.0,From 7 to 9 years old,7,Male,1,4,E,Ticino (TI),1.0,Virtual
14,8,138.0,0.0,2.0,From 7 to 9 years old,7,Male,1,4,E,Ticino (TI),2.0,Virtual
14,9,127.0,0.0,0.0,From 7 to 9 years old,7,Male,1,4,E,Ticino (TI),0.0,Virtual
14,10,84.0,0.0,2.0,From 7 to 9 years old,7,Male,1,4,E,Ticino (TI),2.0,Virtual
14,11,63.0,0.0,0.0,From 7 to 9 years old,7,Male,1,4,E,Ticino (TI),0.0,Virtual
14,12,121.0,0.0,0.0,From 7 to 9 years old,7,Male,1,4,E,Ticino (TI),0.0,Virtual
15,1,19.0,1.0,1.0,From 7 to 9 years old,8,Male,1,4,E,Ticino (TI),2.0,Virtual
15,2,23.0,1.0,2.0,From 7 to 9 years old,8,Male,1,4,E,Ticino (TI),3.0,Virtual
15,3,234.0,0.0,2.0,From 7 to 9 years old,8,Male,1,4,E,Ticino (TI),2.0,Virtual
15,4,79.0,1.0,0.0,From 7 to 9 years old,8,Male,1,4,E,Ticino (TI),1.0,Virtual
15,5,22.0,1.0,1.0,From 7 to 9 years old,8,Male,1,4,E,Ticino (TI),2.0,Virtual
15,6,25.0,1.0,1.0,From 7 to 9 years old,8,Male,1,4,E,Ticino (TI),2.0,Virtual
